Code	Group	SL	HL	ED	BD 	CPL	CPD 	PDL	PVL	SNL 
HA	E.spinifer_Malagarasi	44	10.56	3.47	8.02	7.64	4.42	27.53	21.45	2.91
PA	E.spinifer_Malagarasi	32.89	7.79	2.49	5.85	6.05	2.86	20.47	16.14	1.78
PB	E.spinifer_Malagarasi	42.17	10.88	3.38	7.08	8.44	4.34	28.49	22.06	2.61
PC	E.spinifer_Malagarasi	33.61	7.79	2.63	6.2	5.95	3.3	21.22	16.93	1.57
PD	E.spinifer_Malagarasi	41.83	9.01	3.05	7.29	8.96	3.93	26.65	20.35	2.15
PE	E.spinifer_Malagarasi	34.14	7.98	2.54	6.25	6.89	3.22	21.71	16.25	1.78
PF	E.spinifer_Malagarasi	36.55	7.77	2.75	6.52	7.5	3.09	22.72	17.97	2.02
PG	E.spinifer_Malagarasi	31.1	7.19	2.29	4.61	5.6	2.47	19.55	14.42	1.51
PH	E.spinifer_Malagarasi	33.04	8.1	2.51	5.69	6.13	2.71	20.77	16.05	1.8
EN07	E.spinifer_LakeMalawi	49.96	11.33	3.53	8.68	10.7	3.1	30.8	22.24	2.27
EN08	E.spinifer_LakeMalawi	44.06	9.9	3.44	7.39	7.82	3.51	27	20.55	2.23
EN09	E.spinifer_LakeMalawi	43.75	10.16	3.4	8.12	9.94	4.08	26.25	20.6	2.78
EN18	E.spinifer_LakeMalawi	49.66	11.09	3.52	8.82	10.1	5.59	30.01	21.45	2.19
EN19	E.spinifer_LakeMalawi	49.97	12.57	3.69	8.46	11.56	3.89	29.74	22.63	2.37
EN20	E.spinifer_LakeMalawi	46.55	12.97	3.95	8.46	9.49	3.71	28.41	22.44	2.71
EN21	E.spinifer_LakeMalawi	38.81	8.75	2.72	6.84	8.16	3.21	23.04	18.26	1.77
EN22	E.spinifer_LakeMalawi	52.12	12.85	3.48	8.81	10.38	4.15	32.31	24.08	3.15
EN23	E.spinifer_LakeMalawi	52.82	13.17	3.84	9.72	9.56	5.77	30.16	24.1	3.75
EN24	E.spinifer_LakeMalawi	48.81	11.68	3.86	8.93	10.05	4.89	30.47	24.37	3.43
EN25	E.spinifer_LakeMalawi	50.24	11.19	3.73	8.99	10.23	4.46	30.01	24.99	2.69
EN26	E.spinifer_LakeMalawi	50.29	13.11	3.89	8.99	10.81	4.94	31.43	24.6	2.95
EN27	E.sardella_LakeMalawi	92.86	20.52	4.72	NA	23.88	NA	60.01	21.58	6.82
EN28	E.sardella_LakeMalawi	98.98	23.63	5.23	13.58	35.61	7.08	61.56	22.87	7.34
EN29	E.sardella_LakeMalawi	94.95	21.95	4.63	11.99	25.04	8.83	56.57	19.66	6.14
EN30	E.sardella_LakeMalawi	92.53	20.81	5.13	12.21	25.02	9.59	58.37	21.14	5.93
EN31	E.sardella_LakeMalawi	99.74	27.23	6.07	13.16	25.98	9.59	63.64	26.17	8.89
EN32	E.sardella_LakeMalawi	59.78	14.48	3.8	8.24	13.88	5.78	39.75	14.38	4.68
EN33	E.sardella_LakeMalawi	60.81	15.78	3.32	8.67	12.81	6.52	NA	15.38	5.05
EN34	E.sardella_LakeMalawi	61.43	14.86	4.02	7.75	13.34	6.04	37.36	15.18	4.66
EN35	E.sardella_LakeMalawi	53.28	13.26	3.48	6.16	13.64	5.19	33.72	13.79	4.22
EN36	E.sardella_LakeMalawi	59.36	15.26	3.52	8.22	13.61	6.71	37.25	14.57	4.59
EN37	E.sardella_LakeMalawi	56.76	14.45	3.68	8.11	12.09	6.04	NA	14.37	4.5
EN38	E.sardella_LakeMalawi	56.74	14.58	3.63	7.7	12.9	5.99	36.38	14.38	4.47
EN39	E.sardella_LakeMalawi	56.46	14.45	3.78	7.46	13.66	5.25	35.76	14.19	4.73
